501,3001,Monday,9:00,18:45
502,3001,Wednesday,13:30,22:30
503,3001,Friday,14:30,23:50
504,3002,Saturday,9:00,14:30
505,3002,Sunday,10:30,22:30
506,3003,Tuesday,11:45,21:45
507,3003,Wednesday,12:45,22:15
508,3004,Monday,10:15,23:40
509,3004,Wednesday,7:30,23:10
510,3005,Satruday,6:45,22:10
511,3005,Sunday,12:00,18:45
512,3006,Sunday,13:00,23:45
513,3007,Monday,9:00,23:00
514,3007,Friday,7:45,21:00
515,3008,Thursday,11:30,18:30
516,3009,Saturday,6:45,22:45
517,3009,Monday,11:00,19:30
518,3010,Tuesday,11:00,19:00
519,3010,Thursday,12:00,16:30
520,3011,Friday,8:00,23:00
521,3011,Monday,8:00,23:00
522,3011,Wednesday,9:00,17:30
523,3012,Saturday,10:00,16:00
524,3012,Wednesday,14:30,18:00
525,3012,Friday,12:45,18:00
526,3013,Saturday,13:00,21:00
527,3013,Sunday,11:00,20:00
528,3014,Monday,7:30,19:30
529,3014,Tuesday,9:45,22:00
530,3014,Friday,10:30,21:03
531,3015,Friday,7:00,22:00
532,3015,Monday,6:00,21:30
533,3016,Saturday,14:10,18:45
534,3016,Sunday,12:45,18:15
535,3017,Monday,15:00,22:30
536,3017,Wednesday,14:00,21:45
537,3018,Monday,16:15,23:00
538,3019,Wednesday,8:00,23:30
539,3020,Thursday,11:30,15:50
540,3020,Friday,10:00,21:00
541,3021,Tuesday,12:00,22:30
542,3021,Friday,15:00,22:45
