3001,2007,1
3001,2019,20
3001,2020,50
3002,2003,3
3003,2004,2
3004,2001,1
3004,2002,1
3004,2019,10
3004,2020,25
3005,2006,1
3006,2004,2
3007,2002,2
3009,2008,2
3009,2009,1
3010,2007,2
3010,2019,20
3010,2020,70
3011,2010,2
3012,2020,10
3013,2003,1
3013,2015,1
3013,2012,1
3013,2020,25
3014,2005,1
3014,2020,20
3016,2010,2
3017,2010,2
3017,2020,30
3018,2008,2
3018,2009,2
3018,2011,1
3018,2019,20
3018,2020,55
3019,2007,2
3019,2016,1
3019,2019,30
3019,2020,45
3020,2018,1
3021,2014,1
