4801,7001,1
4802,7002,5
4803,7003,3
4804,7004,6
4805,7005,8
4806,7006,9
4807,7007,6
4808,7008,3
4809,7009,5
4810,7010,4
4811,7011,2
4812,7012,4
4813,7013,8
4814,7014,6
4815,7015,3
4816,7016,9
4817,7017,7
4818,7018,1
4819,7019,2
4820,7020,4
4821,7021,3
4822,7022,6
4823,7023,5
4824,7024,9
4825,7025,6
4826,7026,3
4827,7027,2
4828,7028,4
4829,7029,5
4830,7030,8
4831,7031,7
4832,7032,1
4833,7033,2
4834,7034,3
4835,7035,6
4836,7036,9
4837,7037,5
4838,7038,4
4839,7039,8
4840,7040,7
4841,7041,6
4842,7042,3
4843,7043,2
4844,7044,1
4845,7045,4
4846,7046,4
4847,7047,5
4848,7048,9
4849,7049,6
4850,7050,7
4851,7051,3
4852,7052,9
4853,7053,6
4854,7054,4
4855,7055,6
4856,7056,9
4857,7057,8
4858,7058,5
4859,7059,6
4860,7060,3
4861,7061,2
