100,151,17:00,19:00,Monday
101,151,17:00,19:00,Wednesday
102,152,18:00,20:00,Monday
103,152,18:00,20:00,Thursday
104,153,20:00,22:00,Saturday
105,153,20:00,22:00,Sunday
106,153,19:00,21:00,Monday
107,153,19:00,21:00,Wednesday
108,153,19:00,21:00,Friday
109,155,15:00,18:00,Saturday
110,156,19:00,22:00,Monday
111,157,19:00,21:00,Monday
112,157,19:00,21:00,Wednesday
113,157,19:00,21:00,Friday
114,158,20:00,0:00,Tuesday
115,158,20:00,0:00,Thursday
116,159,13:00,16:00,Friday
117,160,8:00,11:00,Saturday
118,160,8:00,11:00,Sunday
119,161,13:00,18:00,Friday
120,161,13:00,18:00,Saturday
121,162,15:00,18:00,Sunday
